system:index,distance_to_permanent_water_m,event_date,event_id,event_type,flood_area_m2,flood_fraction,grid_center_lat,grid_center_lon,grid_id,label_method_version,observed_flooded,sentinel_post_id,sentinel_pre_id,.geo
"543,4210",948.2367066141685,2018-07-19 01:02:53,EV_2018_07_19,flood,0.0,0.0,19.02723803070492,72.83140911195122,"543,4210",1.0,0,S1A_IW_GRDH_1SDV_20180719T010253_20180719T010318_022856_027A79_D005,S1A_IW_GRDH_1SDV_20180707T010252_20180707T010317_022681_02751F_438D,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32643""}},""type"":""Polygon"",""coordinates"":[[[271500.0,2105000.0],[272000.0,2105000.0],[272000.0,2105500.0],[271500.0,2105500.0],[271500.0,2105000.0]]]}"
"544,4210",333.0693139327234,2018-07-19 01:02:53,EV_2018_07_19,flood,0.0,0.0,19.02729371661013,72.83615707135918,"544,4210",1.0,0,S1A_IW_GRDH_1SDV_20180719T010253_20180719T010318_022856_027A79_D005,S1A_IW_GRDH_1SDV_20180707T010252_20180707T010317_022681_02751F_438D,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32643""}},""type"":""Polygon"",""coordinates"":[[[272000.0,2105000.0],[272500.0,2105000.0],[272500.0,2105500.0],[272000.0,2105500.0],[272000.0,2105000.0]]]}"
"545,4210",1463.2498180693894,2018-07-19 01:02:53,EV_2018_07_19,flood,0.0,0.0,19.02734928063236,72.84090504736191,"545,4210",1.0,0,S1A_IW_GRDH_1SDV_20180719T010253_20180719T010318_022856_027A79_D005,S1A_IW_GRDH_1SDV_20180707T010252_20180707T010317_022681_02751F_438D,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32643""}},""type"":""Polygon"",""coordinates"":[[[272500.0,2105000.0],[273000.0,2105000.0],[273000.0,2105500.0],[272500.0,2105500.0],[272500.0,2105000.0]]]}"
"546,4210",2856.668167407494,2018-07-19 01:02:53,EV_2018_07_19,flood,0.0,0.0,19.027404722735085,72.84565303976787,"546,4210",1.0,0,S1A_IW_GRDH_1SDV_20180719T010253_20180719T010318_022856_027A79_D005,S1A_IW_GRDH_1SDV_20180707T010252_20180707T010317_022681_02751F_438D,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32643""}},""type"":""Polygon"",""coordinates"":[[[273000.0,2105000.0],[273500.0,2105000.0],[273500.0,2105500.0],[273000.0,2105500.0],[273000.0,2105000.0]]]}"
"547,4210",3977.223423411416,2018-07-19 01:02:53,EV_2018_07_19,flood,0.0,0.0,19.027460043087356,72.85040104854941,"547,4210",1.0,0,S1A_IW_GRDH_1SDV_20180719T010253_20180719T010318_022856_027A79_D005,S1A_IW_GRDH_1SDV_20180707T010252_20180707T010317_022681_02751F_438D,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32643""}},""type"":""Polygon"",""coordinates"":[[[273500.0,2105000.0],[274000.0,2105000.0],[274000.0,2105500.0],[273500.0,2105500.0],[273500.0,2105000.0]]]}"
"548,4210",3920.726630722323,2018-07-19 01:02:53,EV_2018_07_19,flood,0.0,0.0,19.027515241512756,72.85514907396463,"548,4210",1.0,0,S1A_IW_GRDH_1SDV_20180719T010253_20180719T010318_022856_027A79_D005,S1A_IW_GRDH_1SDV_20180707T010252_20180707T010317_022681_02751F_438D,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32643""}},""type"":""Polygon"",""coordinates"":[[[274000.0,2105000.0],[274500.0,2105000.0],[274500.0,2105500.0],[274000.0,2105500.0],[274000.0,2105000.0]]]}"
"549,4210",2505.37740204332,2018-07-19 01:02:53,EV_2018_07_19,flood,0.0,0.0,19.02757031836998,72.8598971156003,"549,4210",1.0,0,S1A_IW_GRDH_1SDV_20180719T010253_20180719T010318_022856_027A79_D005,S1A_IW_GRDH_1SDV_20180707T010252_20180707T010317_022681_02751F_438D,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32643""}},""type"":""Polygon"",""coordinates"":[[[274500.0,2105000.0],[275000.0,2105000.0],[275000.0,2105500.0],[274500.0,2105500.0],[274500.0,2105000.0]]]}"
"550,4210",1209.6058906716532,2018-07-19 01:02:53,EV_2018_07_19,flood,0.0,0.0,19.02762527321294,72.86464517344801,"550,4210",1.0,0,S1A_IW_GRDH_1SDV_20180719T010253_20180719T010318_022856_027A79_D005,S1A_IW_GRDH_1SDV_20180707T010252_20180707T010317_022681_02751F_438D,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32643""}},""type"":""Polygon"",""coordinates"":[[[275000.0,2105000.0],[275500.0,2105000.0],[275500.0,2105500.0],[275000.0,2105500.0],[275000.0,2105000.0]]]}"
"551,4210",1051.555500987827,2018-07-19 01:02:53,EV_2018_07_19,flood,0.0,0.0,19.027680106119327,72.86939324792301,"551,4210",1.0,0,S1A_IW_GRDH_1SDV_20180719T010253_20180719T010318_022856_027A79_D005,S1A_IW_GRDH_1SDV_20180707T010252_20180707T010317_022681_02751F_438D,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32643""}},""type"":""Polygon"",""coordinates"":[[[275500.0,2105000.0],[276000.0,2105000.0],[276000.0,2105500.0],[275500.0,2105500.0],[275500.0,2105000.0]]]}"
"552,4210",853.2181759992703,2018-07-19 01:02:53,EV_2018_07_19,flood,0.0,0.0,19.02773481728481,72.87414133844162,"552,4210",1.0,0,S1A_IW_GRDH_1SDV_20180719T010253_20180719T010318_022856_027A79_D005,S1A_IW_GRDH_1SDV_20180707T010252_20180707T010317_022681_02751F_438D,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32643""}},""type"":""Polygon"",""coordinates"":[[[276000.0,2105000.0],[276500.0,2105000.0],[276500.0,2105500.0],[276000.0,2105500.0],[276000.0,2105000.0]]]}"
